,Llama2-ShareGPT-Seed-0,Llama2-ShareGPT-Seed-1,Llama2-Tulu,Mistral-ShareGPT,Mistral-Tulu-Seed-0,Mistral-Tulu-Seed-1
Anchoring_A branch manager at a company from the banks industry deciding whether to extend branch operations to a new city.,0.35714285656122446,0.3333333318055556,0.0416666665972222,-0.0833333330555556,0.03333333329444443,0.0
Anchoring_A branch manager at a company from the financial services industry deciding on the staffing requirements for the upcoming quarter to ensure efficient operation and customer satisfaction.,0.2666666642222223,-0.0999999998,0.2916666657638889,-0.12499999593750007,0.21333333261777776,0.3066666658088889
Anchoring_A brand manager at a company from the consumer durables & apparel industry deciding how to reposition the brand to appeal to a younger demographic.,0.2952380945306122,0.12499999937499999,0.06666666644444444,-0.16666666555555562,-0.16666666594444446,0.06666666644444444
Anchoring_A brand manager at a company from the household & personal products industry deciding on the best strategy to enhance brand loyalty among Millennials.,0.033333333211111094,0.0,0.0666666665055556,-0.02777777719907406,-0.0999999997222222,0.0416666665972222
Anchoring_A business development manager at a company from the banks industry deciding on strategic partnerships to expand market reach.,0.4247619038325624,0.074999999475,0.11999999982666665,-0.024999999010416697,0.0999999998,4.1666664563067e-10
Anchoring_A claims manager at a company from the insurance industry deciding whether to approve a large settlement for a disputed claim.,-0.04999999937499995,0.37499999906250003,0.18749999953125002,0.5833333299305556,0.0,-0.24999999968750003
Anchoring_A client service manager at a company from the commercial & professional services industry deciding on how to address a major client's service complaint.,0.489285713403699,0.0,0.29166666585069445,-0.283333330225,0.08333333301388887,0.3333333322222223
"Anchoring_A clinical operations manager at a company from the pharmaceuticals, biotechnology & life sciences industry deciding on whether to proceed with Phase 3 trials after reviewing initial Phase 2 results.",0.45476190558645124,-0.027777778206018483,0.3333333327777777,-0.041666666267361166,-0.04666666496222228,-0.1190476188696145
Anchoring_A clinical services manager at a company from the health care equipment & services industry deciding on resource allocation for an upcoming clinical trial.,0.47952380859361676,0.4999999991666666,0.1749999995875,0.0,0.14285714265306124,-0.014285714236734698
Anchoring_A compliance manager at a company from the banks industry deciding how to update policies in alignment with new regulatory requirements.,0.6666666648499999,0.16666666624999998,0.43999999852,0.1666666661111111,0.39999999919999996,0.399999998
Anchoring_A compliance manager at a company from the equity real estate investment trusts industry deciding how to address recent changes in real estate regulations.,0.5229166657935764,-0.11904761905612245,0.02714285719622448,0.4833333321583334,0.18444444381506173,0.1428571419387755
Anchoring_A compliance manager at a company from the financial services industry deciding on the necessary steps to ensure adherence to the latest financial regulations and standards.,0.3966666655872223,0.1666666661111111,0.29999999894444446,0.3333333327777777,-0.18666666589888886,0.1999999995
Anchoring_A construction manager at a company from the real estate management & development industry deciding on which subcontractor to hire for electrical work in a new building project.,0.7999999964642858,0.16666666583333334,0.24999999937500003,0.3749999984375,-0.057142857061224496,-0.289999997795
Anchoring_A content manager at a company from the media & entertainment industry deciding which trending topics to focus on for the upcoming month.,0.37083333219236114,0.0,0.249999997875,0.25416666611021826,0.19999999800000004,-0.1249999977083334
Anchoring_A creative manager at a company from the media & entertainment industry deciding the theme for the next big advertising campaign.,0.9166666643650794,0.0,0.06944444427662036,-0.013333333128888892,0.011111111228395032,-0.02857142853061224
Anchoring_A credit manager at a company from the banks industry deciding whether to approve a large loan request from a corporate client.,-0.21999999766000006,0.0,0.1249999990625,0.0,-0.149999999125,-0.05000000012500001
Anchoring_A credit manager at a company from the financial services industry deciding whether to approve a loan application based on the applicant's creditworthiness and financial background.,-0.10476190471145123,0.09374999941406252,-0.13333333306666667,0.6166666646527779,-0.12499999781250004,0.39999999750000004
Anchoring_A customer relationship manager at a company from the banks industry deciding on tactics to enhance customer satisfaction and loyalty.,0.06666666644444445,0.0,0.03571428477040817,0.041446681382289505,0.0,0.29999999750000006
Anchoring_A customer service manager at a company from the consumer discretionary distribution & retail industry deciding on the implementation of a new feedback system to improve customer satisfaction.,0.314285713622449,0.09999999971666666,0.5416666647916667,0.9999999966666667,0.5749999964750001,0.0
Anchoring_A customer service manager at a company from the consumer durables & apparel industry deciding the improvements needed in the customer feedback process to enhance satisfaction.,-0.14999999812500003,0.1666666655555556,-0.08999999854500003,0.4999999989999999,0.13541666658420137,-0.06666666653333334
Anchoring_A customer service manager at a company from the consumer services industry deciding which new customer support software to implement to enhance service efficiency.,0.026666666902222212,0.0,-0.08333333312499999,0.249999999375,0.47222221858796304,0.33333333277777777
Anchoring_A customer service manager at a company from the consumer staples distribution & retail industry deciding whether to implement a new training program for the support team.,0.2799999994025,0.3999999992,0.3422619037397251,-0.3333333316666667,0.029999999965000003,-0.23333333302777776
Anchoring_A customer service manager at a company from the health care equipment & services industry deciding on improving the response time to customer inquiries.,0.309999998055,0.0,-0.13999999942000002,-0.7499999981250001,0.5208333299131945,0.3499999989583334
Anchoring_A customer service manager at a company from the insurance industry deciding on a new training program to improve client interaction skills.,0.04047619060606576,-0.25999999943,0.39999999875,0.7999999984,0.3333333308333334,0.033333333277777766
Anchoring_A customer service manager at a company from the technology hardware & equipment industry deciding on the implementation of a new ticketing system to improve response rates.,0.0333333335486111,0.0,0.02777777767746914,-0.583333330625,-0.1999999996,-0.21111111045061728
Anchoring_A customer service manager at a company from the telecommunication services industry deciding whether to implement a new chatbot feature to improve response times.,0.2047619044614512,0.6666666644444444,-0.23809523741383218,-0.17999999959,-0.19999999800000004,0.08888888878518518
Anchoring_A customer service manager at a company from the utilities industry deciding how to address a sudden increase in service complaints due to billing errors.,0.37999999759,0.0,-0.07333333319777777,0.1249999996875,-0.0999999998,-0.33333333000000004
